Item_Code,Item
Cereals and products,rice – PDS
Cereals and products,rice – other sources
Cereals and products,chira
Cereals and products,muri
Cereals and products,other rice products
Cereals and products,wheat/ atta – PDS
Cereals and products,wheat/ atta – other sources
Cereals and products,maida
Cereals and products,"suji, rawa"
Cereals and products,"sewai, noodles"
Cereals and products,bread (bakery)
Cereals and products,"biscuits, chocolates, etc."
Cereals and products,other cereals
Cereals and products,"cereal substitutes: tapioca, etc."
Cereals and products,jowar & its products
Cereals and products,bajra & its products
Cereals and products,maize & products
Cereals and products,small millets & their products
Cereals and products,ragi & its products
Cereals and products,grinding charges
Meat and Fish,goat meat/mutton
Meat and Fish,beef/ buffalo meat
Meat and Fish,pork
Meat and Fish,chicken
Meat and Fish,"others: birds, crab, oyster, tortoise, etc."
Meat and Fish,"fish, prawn"
Egg,eggs (no.)
Milk and products,milk: liquid (litre)
Milk and products,baby food
Milk and products,milk: condensed/ powder
Milk and products,curd
Milk and products,other milk products
Oils and fats,mustard oil
Oils and fats,groundnut oil
Oils and fats,coconut oil
Oils and fats,"refined oil [sunflower, soyabean, saffola, etc.]"
Oils and fats,ghee
Oils and fats,butter
Oils and fats,"vanaspati, margarine"
Fruits,banana (no.)
Fruits,jackfruit
Fruits,watermelon
Fruits,pineapple (no.)
Fruits,coconut (no.)
Fruits,green coconut (no.)
Fruits,guava
Fruits,singara
Fruits,"orange, mausami (no.)"
Fruits,papaya
Fruits,mango
Fruits,kharbooza
Fruits,pears/nashpati
Fruits,berries
Fruits,leechi
Fruits,apple
Fruits,grapes
Fruits,other fresh fruits
Fruits,coconut: copra
Fruits,groundnut
Fruits,dates
Fruits,cashewnut
Fruits,walnut
Fruits,other nuts
Fruits,"raisin, kishmish, monacca, etc."
Fruits,other dry fruits
Vegetables,potato
Vegetables,onion
Vegetables,radish
Vegetables,carrot
Vegetables,garlic (gm)
Vegetables,ginger (gm)
Vegetables,palak/other leafy vegetables
Vegetables,tomato
Vegetables,brinjal
Vegetables,cauliflower
Vegetables,cabbage
Vegetables,green chillies
Vegetables,lady's finger
Vegetables,"parwal/patal, kundru"
Vegetables,"gourd, pumpkin"
Vegetables,peas (Vegetables)
Vegetables,"beans, barbati"
Vegetables,lemon (no.)
Vegetables,other vegetables
Vegetables,pickles (gm)
Vegetables,chips (gm)
Pulses and products,"arhar, tur"
Pulses and products,gram: split
Pulses and products,gram: whole
Pulses and products,moong
Pulses and products,masur
Pulses and products,urd
Pulses and products,peas (Pulses)
Pulses and products,khesari
Pulses and products,other pulses
Pulses and products,gram products
Pulses and products,besan
Pulses and products,other pulse products
Sugar and Confectionery,sugar - PDS
Sugar and Confectionery,sugar - other sources
Sugar and Confectionery,gur
Sugar and Confectionery,"candy, misri"
Sugar and Confectionery,honey
Sugar and Confectionery,"sauce, jam, jelly (gm)"
Sugar and Confectionery,ice-cream
Spices,salt
