Code,Description,Index 2012,Weight,Rural Sep 2023 Index,Rural Sep 2024 Index,Reported Inflation - Rural,Urban Sep 2023 Index,Urban Sep 2024 Index,Reported Inflation - Urban,Combined Sep 2023 Index,Combined Sep 2024 Index,Reported Inflation - Combined
1.1.01,Cereals and products,100,12.35,181.4,194.3,7.11,181.3,192.8,6.34,181.4,193.8,6.84
1.1.02,Meat and fish,100,4.38,214.5,220.2,2.66,223.7,229.5,2.59,217.7,223.5,2.66
1.1.03,Egg,100,0.49,178.5,190.2,6.55,184.2,195.2,5.97,180.7,192.1,6.31
1.1.04,Milk and products,100,7.72,181.5,186.6,2.81,181.6,187.6,3.3,181.5,187,3.03
1.1.05,Oils and fats,100,4.21,164.5,169.4,2.98,158.3,160.8,1.58,162.2,166.2,2.47
1.1.06,Fruits,100,2.88,173.6,188.1,8.35,182.7,195.1,6.79,177.8,191.4,7.65
1.1.07,Vegetables,100,7.46,184.5,251,36.04,225.5,306.4,35.88,198.4,269.8,35.99
1.1.08,Pulses and products,100,2.95,195,214.1,9.79,200.1,219.7,9.8,196.7,216,9.81
1.1.09,Sugar and Confectionery,100,1.7,126.6,131,3.48,128.4,132.9,3.5,127.2,131.6,3.46
1.1.10,Spices,100,3.11,246.3,229.6,-6.78,236,224.7,-4.79,242.9,228,-6.13
1.2.11,Non-alcoholic beverages,100,1.37,180.5,184.7,2.33,168.2,173.3,3.03,175.4,179.9,2.57
1.1.12,"Prepared meals, snacks, sweets etc.",100,5.56,193.2,198.9,2.95,200.7,209.3,4.29,196.7,203.7,3.56
2,"Pan, tobacco and intoxicants",100,3.26,202.2,206.9,2.32,207.2,213.3,2.94,203.5,208.6,2.51
3.1.01,Clothing,100,6.32,193.3,198.5,2.69,183.2,188.7,3,189.3,194.6,2.8
3.1.02,Footwear,100,1.04,189.4,192.4,1.58,170.2,174.7,2.64,181.4,185,1.98
4,Housing,100,,,,,176.2,181.1,2.78,176.2,181.1,2.78
5,Fuel and light,100,7.94,181.6,181,-0.33,175.5,169.8,-3.25,179.3,176.8,-1.39
6.1.01,Household goods and services,100,3.75,181.3,185.2,2.15,171.7,177,3.09,176.8,181.3,2.55
6.1.02,Health,100,6.83,190.4,197.9,3.94,184.9,193,4.38,188.3,196,4.09
6.1.03,Transport and communication,100,7.6,171.3,176.3,2.92,161.3,165.4,2.54,166,170.6,2.77
6.1.04,Recreation and amusement,100,1.37,175.9,179.8,2.22,171.2,175.4,2.45,173.3,177.3,2.31
6.1.05,Education,100,3.46,184.9,191.6,3.62,180.3,187.4,3.94,182.2,189.1,3.79
6.1.06,Personal care and effects,100,4.25,185.1,201.4,8.81,186.1,203.4,9.3,185.5,202.2,9
